LCSC Part Number,Manufacture Part Number,Manufacturer,Package,Customer #,Description,RoHS,Order Qty.,Min\Mult Order Qty.,Unit Price($),Ext.Price($),Product Link
C28323,CL21B105KBFNNNE,Samsung Electro-Mechanics,0805,,50V 1uF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,0.0088,0.44,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl21b105kbfnnne_C28323.html
C1804,CL21C220JBANNNC,Samsung Electro-Mechanics,0805,,50V 22pF C0G ±5% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,50,50,0.0089,0.45,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_samsung-electro-mechanics-cl21c220jbannnc_C1804.html
C49678,CC0805KRX7R9BB104,YAGEO,0805,,50V 100nF X7R ±10% 0805 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,yes,100,100,0.0045,0.45,https://www.lcsc.com/product-detail/multilayer-ceramic-capacitors-mlcc-smd-smt_yageo-cc0805krx7r9bb104_C49678.html
C81598,1N4148W,ST(Semtech),SOD-123,,75V Independent Type 1V@50mA 4ns 150mA SOD-123 Switching Diodes ROHS,yes,50,50,0.0109,0.55,https://www.lcsc.com/product-detail/switching-diodes_st-semtech-1n4148w_C81598.html
C269104,SMD0805B050TF,Brightking,0805,,6V 500mA 100A 1A 0805 Resettable Fuses ROHS,yes,20,20,0.0185,0.37,https://www.lcsc.com/product-detail/resettable-fuses_brightking-smd0805b050tf_C269104.html
C38522,0805W8F1002T5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 10kΩ 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0016,0.16,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f1002t5e_C38522.html
C17561,0805W8F220JT5E,UNI-ROYAL(Uniroyal Elec),0805,,125mW Thick Film Resistors 150V ±100ppm/℃ ±1% 22Ω 0805 Chip Resistor - Surface Mount ROHS,yes,100,100,0.0018,0.18,https://www.lcsc.com/product-detail/chip-resistor-surface-mount_uni-royal-uniroyal-elec-0805w8f220jt5e_C17561.html
C2681559,MICRO 7.2JB,SHOU HAN,SMD,,1A USB 2.0 1 Horizontal attachment 5P Female -30℃~+80℃ Micro-B SMD USB Connectors ROHS,yes,20,20,0.0290,0.58,https://www.lcsc.com/product-detail/usb-connectors_shou-han-micro-7-2jb_C2681559.html
C2828559,NX2520SA-16MHZ-EXS00A-CS08206,NDK,SMD2520-4P,,SMD2520-4P Crystals ROHS,yes,6,1,0.3399,2.04,https://www.lcsc.com/product-detail/crystals_ndk-nx2520sa-16mhz-exs00a-cs08206_C2828559.html
C44854,ATMEGA32U4-AU,Microchip Tech,QFP-44(10x10),,32KB 2.7V~5.5V AVR 2.5KB 16MHz FLASH 26 QFP-44(10x10) Microcontrollers (MCU/MPU/SOC) ROHS,yes,2,1,5.6469,11.29,https://www.lcsc.com/product-detail/microcontrollers-mcu-mpu-soc_microchip-tech-atmega32u4-au_C44854.html
C965555,WS2812B-2020,Worldsemi,"SMD,2x2mm",,"SMD,2x2mm RGB LEDs(Built-in IC) ROHS",yes,100,5,0.0636,6.36,https://www.lcsc.com/product-detail/rgb-leds-built-in-ic_worldsemi-ws2812b-2020_C965555.html
