Designator,Footprint,Quantity,Value,LCSC Part #
C1,805,1,1uF,CL21B105KBFNNNE
"C2, C3",805,2,22pF,CL21C220JBANNNC
"C5, C6, C7, C8",805,4,0.1uF,CC0805KRX7R9BB104
"D_0, D_1, D_10, D_11, D_12, D_13, D_14, D_15, D_16, D_17, D_18, D_19, D_2, D_20, D_21, D_22, D_23, D_24, D_25, D_26, D_27, D_28, D_29, D_3, D_30, D_31, D_32, D_33, D_34, D_35, D_36, D_37, D_38, D_39, D_4, D_40, D_41, D_42, D_43, D_44, D_45, D_46, D_48,D_47,D_49, D_5, D_50, D_51, D_52, D_53, D_54, D_55, D_56, D_57, D_58, D_59, D_6, D_60, D_61, D_62, D_63, D_64, D_65, D_66, D_67, D_7, D_8, D_9",D_SOD-123,67,1N4148W,C81598
F1,805,1,500mA,SMD0805B050TF
"K_0, K_1, K_10, K_11, K_12, K_14, K_16, K_17, K_18, K_19, K_2, K_20, K_21, K_22, K_23, K_24, K_25, K_26, K_27, K_29, K_3, K_31, K_32, K_33, K_34, K_35, K_36, K_37, K_38, K_39, K_4, K_40, K_41, K_43, K_45, K_46, K_47, K_48, K_49, K_5, K_50, K_51, K_52, K_53, K_54, K_56, K_57, K_6, K_62, K_63, K_64, K_65, K_66, K_67, K_7, K_8, K_9",MX-1U-NoLED,57,KEYSW,
K_13,MX-2U-NoLED,1,KEYSW,
"K_15, K_28",MX-1.5U-NoLED,2,KEYSW,
"K_30, K_55",MX-1.75U-NoLED,2,KEYSW,
"K_42, K_44",MX-2.25U-NoLED,2,KEYSW,
"K_58, K_59, K_60",MX-1.25U-NoLED,3,KEYSW,
K_61,MX-6.25U-NoLED,1,KEYSW,
"R1, R4",805,2,10k,0805W8F1002T5E
"R2, R3",805,2,22,0805W8F220JT5E
U1,TQFP-44_10x10mm_P0.8mm,1,ATmega32U4-A,
USB1,USB_Micro-B_Molex-105017-0001,1,MICRO 7.2JB,C2681559
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz,C2828559
