Designator,Mid X,Mid Y,Rotation,Layer
C1,161.5,-77.0,180.0,bottom
C2,121.45,-81.2,180.0,bottom
C3,121.5,-83.25,0.0,bottom
C5,164.5,-80.65,270.0,bottom
C6,167.51,-80.65,270.0,bottom
C7,170.52,-80.65,270.0,bottom
C8,173.53,-80.65,270.0,bottom
D_0,18.05,-10.025,90.0,bottom
D_1,37.1,-10.025,90.0,bottom
D_10,208.55,-10.025,90.0,bottom
D_11,227.6,-10.025,90.0,bottom
D_12,246.65,-10.025,90.0,bottom
D_13,284.75,-10.025,90.0,bottom
D_14,303.8,-10.025,90.0,bottom
D_15,27.575,-29.075,90.0,bottom
D_16,46.625,-29.075,90.0,bottom
D_17,65.675,-29.075,90.0,bottom
D_18,84.725,-29.075,90.0,bottom
D_19,103.775,-29.075,90.0,bottom
D_2,56.15,-10.025,90.0,bottom
D_20,122.825,-29.075,90.0,bottom
D_21,141.875,-29.075,90.0,bottom
D_22,160.925,-29.075,90.0,bottom
D_23,179.975,-29.075,90.0,bottom
D_24,199.025,-29.075,90.0,bottom
D_25,218.075,-29.075,90.0,bottom
D_26,237.125,-29.075,90.0,bottom
D_27,256.175,-29.075,90.0,bottom
D_28,284.75,-29.075,90.0,bottom
D_29,303.8,-29.075,90.0,bottom
D_3,75.2,-10.025,90.0,bottom
D_30,32.3375,-48.125,90.0,bottom
D_31,51.3875,-48.125,90.0,bottom
D_32,70.4375,-48.125,90.0,bottom
D_33,89.4875,-48.125,90.0,bottom
D_34,108.5375,-48.125,90.0,bottom
D_35,127.5875,-48.125,90.0,bottom
D_36,146.6375,-48.125,90.0,bottom
D_37,165.6875,-48.125,90.0,bottom
D_38,184.7375,-48.125,90.0,bottom
D_39,203.7875,-48.125,90.0,bottom
D_4,94.25,-10.025,90.0,bottom
D_40,222.8375,-48.125,90.0,bottom
D_41,241.8875,-48.125,90.0,bottom
D_42,284.75,-48.125,90.0,bottom
D_43,303.8,-48.125,90.0,bottom
D_44,41.8625,-67.175,90.0,bottom
D_45,60.9125,-67.175,90.0,bottom
D_46,79.9625,-67.175,90.0,bottom
D_47,99.0125,-67.175,90.0,bottom
